RefSeq mRNA ID	NCBI gene ID	Gene name
NM_004420	1850	DUSP8
NM_004420	1850	DUSP8
NM_004420	1850	DUSP8
NM_001395	1852	DUSP9
NM_001318503	1852	DUSP9
NM_001330286	1854	DUT
NM_001025249	1854	DUT
NM_001025248	1854	DUT
NM_001948	1854	DUT
NM_004421	1855	DVL1
NM_001330311	1855	DVL1
NM_004422	1856	DVL2
NM_004423	1857	DVL3
NM_101395	1859	DYRK1A
NM_130436	1859	DYRK1A
NM_001396	1859	DYRK1A
NM_130438	1859	DYRK1A
NM_000113	1861	TOR1A
NM_005225	1869	E2F1
NM_004091	1870	E2F2
NM_004091	1870	E2F2
NM_001949	1871	E2F3
NM_001243076	1871	E2F3
NM_001950	1874	E2F4
NM_001083588	1875	E2F5
NM_001951	1875	E2F5
NM_001083589	1875	E2F5
NM_198256	1876	E2F6
NM_212540	1876	E2F6
NM_001278275	1876	E2F6
NM_001278277	1876	E2F6
NM_001278276	1876	E2F6
NM_001278278	1876	E2F6
NM_004424	1877	E4F1
NM_001288778	1877	E4F1
NM_001288776	1877	E4F1
NM_001324103	1879	EBF1
NM_001324111	1879	EBF1
NM_001324101	1879	EBF1
NM_001290360	1879	EBF1
NM_001324107	1879	EBF1
NM_001324108	1879	EBF1
NM_024007	1879	EBF1
NM_001324106	1879	EBF1
NM_182708	1879	EBF1
NM_001324109	1879	EBF1
NM_004951	1880	GPR183
NM_001113348	1889	ECE1
NM_001113347	1889	ECE1
NM_001397	1889	ECE1
NM_001113349	1889	ECE1
NM_001257989	1890	TYMP
NM_001953	1890	TYMP
NM_001113756	1890	TYMP
NM_001113755	1890	TYMP
NM_001257988	1890	TYMP
NM_001398	1891	ECH1
NM_001398	1891	ECH1
NM_004092	1892	ECHS1
NM_001202858	1893	ECM1
NM_004425	1893	ECM1
NM_022664	1893	ECM1
NM_001349102	1894	ECT2
NM_001258316	1894	ECT2
NM_018098	1894	ECT2
NM_001349099	1894	ECT2
NM_001258315	1894	ECT2
NM_001005610	1896	EDA
NM_001005613	1896	EDA
NM_001005609	1896	EDA
NM_001005612	1896	EDA
NM_001399	1896	EDA
NM_001320730	1901	S1PR1
NM_001400	1901	S1PR1
NM_001351406	1902	LPAR1
NM_001351404	1902	LPAR1
NM_001351403	1902	LPAR1
NM_001351420	1902	LPAR1
NM_001351417	1902	LPAR1
NM_001351419	1902	LPAR1
NM_001351405	1902	LPAR1
NM_001351402	1902	LPAR1
NM_057159	1902	LPAR1
NM_001401	1902	LPAR1
NM_005226	1903	S1PR3
NM_001168319	1906	EDN1
NM_001955	1906	EDN1
NM_001956	1907	EDN2
NM_001302269	1907	EDN2
NM_001302455	1908	EDN3
NM_207034	1908	EDN3
NM_207032	1908	EDN3
NM_001302456	1908	EDN3
NM_207033	1908	EDN3
NM_001256283	1909	EDNRA
NM_001957	1909	EDNRA
NM_001166055	1909	EDNRA
NM_001201397	1910	EDNRB
NM_003991	1910	EDNRB
NM_000115	1910	EDNRB
NM_001122659	1910	EDNRB
NM_004426	1911	PHC1
NM_004427	1912	PHC2
NM_198040	1912	PHC2
NM_001330488	1912	PHC2
NM_001402	1915	EEF1A1
NM_001958	1917	EEF1A2
NM_021121	1933	EEF1B2
NM_001959	1933	EEF1B2
NM_001037663	1933	EEF1B2
NM_021121	1933	EEF1B2
NM_001037663	1933	EEF1B2
NM_001959	1933	EEF1B2
NM_001195203	1936	EEF1D
NM_032378	1936	EEF1D
NM_001317743	1936	EEF1D
NM_001130056	1936	EEF1D
NM_001960	1936	EEF1D
NM_001289950	1936	EEF1D
NM_001130055	1936	EEF1D
NM_001130057	1936	EEF1D
NM_001130053	1936	EEF1D
NM_032378	1936	EEF1D
NM_001317743	1936	EEF1D
NM_001130056	1936	EEF1D
NM_001960	1936	EEF1D
NM_001289950	1936	EEF1D
NM_001195203	1936	EEF1D
NM_001130053	1936	EEF1D
NM_001130057	1936	EEF1D
NM_001130055	1936	EEF1D
NM_001404	1937	EEF1G
NM_001961	1938	EEF2
NM_006893	1939	EIF2D
NM_001201478	1939	EIF2D
NM_004428	1942	EFNA1
NM_182685	1942	EFNA1
