RefSeq mRNA ID	NCBI gene ID	Gene name
NM_133269	2204	FCAR
NM_133274	2204	FCAR
NM_133278	2204	FCAR
NM_133277	2204	FCAR
NM_133273	2204	FCAR
NM_133273	2204	FCAR
NM_002000	2204	FCAR
NM_133271	2204	FCAR
NM_133269	2204	FCAR
NM_133278	2204	FCAR
NM_133274	2204	FCAR
NM_133272	2204	FCAR
NM_133277	2204	FCAR
NM_133273	2204	FCAR
NM_133269	2204	FCAR
NM_002000	2204	FCAR
NM_133271	2204	FCAR
NM_133278	2204	FCAR
NM_133274	2204	FCAR
NM_133272	2204	FCAR
NM_133277	2204	FCAR
NM_133273	2204	FCAR
NM_133269	2204	FCAR
NM_002000	2204	FCAR
NM_133271	2204	FCAR
NM_133278	2204	FCAR
NM_133274	2204	FCAR
NM_133272	2204	FCAR
NM_133277	2204	FCAR
NM_133273	2204	FCAR
NM_002000	2204	FCAR
NM_133271	2204	FCAR
NM_133269	2204	FCAR
NM_133278	2204	FCAR
NM_133274	2204	FCAR
NM_133272	2204	FCAR
NM_133277	2204	FCAR
NM_133273	2204	FCAR
NM_133269	2204	FCAR
NM_002000	2204	FCAR
