raw_ids	SYMBOL	GENENAME
NM_060058	pyk-1	Pyruvate kinase
NM_060079	nmat-2	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 2
NM_060144	K07A1.5	Dauer Up-Regulated
NM_001264200	rig-5	Ig-like domain-containing protein
NM_001381092	rig-5	Ig-like domain-containing protein
NM_060134	rig-5	Ig-like domain-containing protein
NM_001264203	rig-5	Ig-like domain-containing protein
NM_060179	C04F12.8	Protein-tyrosine-phosphatase
NM_001383676		
NM_060233	algn-10	Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase
NM_001383711	scpl-1	CTD small phosphatase-like protein 1
NM_170918	scpl-1	CTD small phosphatase-like protein 1
NM_060292	ced-12	Cell death abnormality protein 12;ELMO domain-containing protein
NM_060374	lam-3	Laminin subunit alpha lam-3
NM_060509	pes-2.2	F-box domain-containing protein
NM_060494	F36D1.4	Spore coat protein
NM_001083153	ego-2	BRO1 domain-containing protein
NM_001264705	ego-2	BRO1 domain-containing protein
NM_001083154		
NM_001377640	vab-10	Calponin-homology (CH) domain-containing protein;GAR domain-containing protein;Microtubule-actin cross-linking factor 1;Nesprin-1;Spectrin beta chain
NM_001383735		
NM_001026347	ksr-2	Kinase suppressor of Ras B
NM_001026348	ksr-2	Kinase suppressor of Ras B
NM_001129028	R05D7.7	Uncharacterized protein
NM_060758	C54C8.4	Nucleotide-diphospho-sugar transferase domain-containing protein
NM_060822	T06G6.4	FAM184 domain-containing protein
NM_060845	mxt-1	Eukaryotic translation initiation factor 4E-binding protein Mextli homolog
NM_001025881	gale-1	UDP-glucose 4-epimerase
NM_001025880	gale-1	UDP-glucose 4-epimerase
NM_001276636	pals-10	Protein containing ALS2cr12 (ALS2CR12) signature
NM_060952	sptf-3	Specificity protein transcription factor 3
NM_060971	ndx-8	Peroxisomal coenzyme A diphosphatase ndx-8
NM_001377673	scpr-1	S phase cyclin A-associated protein in the endoplasmic reticulum N-terminal domain-containing protein
NM_061069	fipr-22	FIP (Fungus-Induced Protein) Related
NM_061094	fbxb-68	F-box associated domain-containing protein
NM_170941	apg-1	AP-1 complex subunit gamma
NM_001383767	smp-1	Sema domain-containing protein;Semaphorin-1A
NM_061181	smp-1	Sema domain-containing protein;Semaphorin-1A
NM_170958	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_170960	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_001381272	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_061204	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_170962	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_170965	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_170964	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_170966	kin-1	Protein kinase domain-containing protein;cAMP-dependent protein kinase catalytic subunit
NM_058260	homt-1	Alpha N-terminal protein methyltransferase 1
NM_058259	nlp-40	Peptide P4
NM_058262	rcor-1	REST corepressor rcor-1
NM_058261	rcor-1	REST corepressor rcor-1
NM_058263	sesn-1	Sestrin homolog
NM_001026606	Y48G1C.12	Anaphase-promoting complex subunit 10
NM_058265	pgs-1	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NM_058267	Y48G1C.5	Tyrosine-protein phosphatase domain-containing protein
NM_001380379		
NM_001306236	mtm-10	Myotubularin phosphatase domain-containing protein
NM_058269	Y48G1C.6	HTH CENPB-type domain-containing protein
NM_001380741		
NM_058271	pid-2	Protein pid-2
NM_001261860	Y48G1C.13	Chitin-binding type-2 domain-containing protein
NM_001306238	Y48G1C.8	OTU domain-containing protein
NM_001306239	Y48G1C.8	OTU domain-containing protein
NM_058274	rab-11.1	Ras-related protein rab-11.1
NM_058275	rpl-7	Large ribosomal subunit protein uL30
NM_001306336	F53G12.9	GST_C_6 domain-containing protein;Metaxin glutathione S-transferase domain-containing protein
NM_058277	F53G12.8	Uncharacterized protein
NM_058278	col-45	Collagen triple helix repeat protein;Nematode cuticle collagen N-terminal domain-containing protein
NM_058279	spe-8	Spermatocyte protein spe-8
NM_001356795	F53G12.18	Nematode cuticle collagen N-terminal domain-containing protein
NM_058285	bli-3	Dual oxidase 1
NM_058286	ptr-11	SSD domain-containing protein
NM_058287	cest-27	Carboxylic ester hydrolase
NM_001129013	F56C11.5	MARVEL domain-containing protein
NM_058288		
NM_058289	F56C11.3	Sulfhydryl oxidase
NM_001306285	atm-1	Serine/threonine-protein kinase ATM
NM_001026605	Y48G1BL.7	Carbohydrate sulfotransferase
NM_058305	snpc-3.2	snRNA-activating protein complex subunit 3
NM_001313539	Y48G1BL.8	snRNA-activating protein complex subunit 3
NM_058307	Y48G1BR.1	SEA domain-containing protein
NM_001361855	marc-4	RING-CH-type domain-containing protein
NM_001373725	ztf-3	C2H2-type domain-containing protein
NM_001373713	ztf-3	C2H2-type domain-containing protein
NM_001381482	C53D5.1	FAM69 protein-kinase domain-containing protein
NM_058311	C53D5.1	FAM69 protein-kinase domain-containing protein
NM_058312	C53D5.1	FAM69 protein-kinase domain-containing protein
NM_058313	C53D5.5	Gamma-glutamyltranspeptidase 1
NM_058314	imb-3	Importin N-terminal domain-containing protein
NM_058315	xpo-2	Exportin-2;Exportin-2 C-terminal domain-containing protein
NM_001364065	nol-14	Nucleolar protein 14
NM_058318	daf-25	Dauer abnormal formation protein 25
NM_001129071	mbtr-1	Malignant brain tumor repeat protein 1
NM_001129070	mbtr-1	Malignant brain tumor repeat protein 1
NM_058320	Y48G1A.2	Transposase
NM_058321	Y48G1A.1	BTB domain-containing protein
NM_001383945		
NM_058323	rnp-8	RRM domain-containing protein
NM_058324	icpp-55	Aminopeptidase P N-terminal domain-containing protein
NM_058325	R119.3	DeHydrogenases, Short chain
NM_058327	taf-4	Transcription initiation factor TFIID subunit 4
NM_058326	pqn-59	Prion-like (glutamine/asparagine-rich) domain bearing protein pqn-59
NM_058329	otub-2	ubiquitinyl hydrolase 1
NM_001306333	otub-2	ubiquitinyl hydrolase 1
NM_001377897	Y50C1A.2	WD_REPEATS_REGION domain-containing protein
NM_058331	C07F11.2	BTB domain-containing protein
NM_001025812	tol-1	TIR domain-containing protein
NM_058333	W04C9.4	Uncharacterized protein
NM_058334	W04C9.5	GTP-binding protein
NM_058335	cutl-13	ZP domain-containing protein
NM_001306256	W04C9.9	Zinc finger protein
NM_058336	W04C9.6	MFS domain-containing protein
NM_058337	W04C9.2	MICOS complex subunit MIC13
