raw_ids	SYMBOL	GENENAME
NM_001194606	PDE6D	phosphodiesterase 6D
NM_001194616	COPS7B	COP9 signalosome subunit 7B
NM_001194397	NPPC	natriuretic peptide C
NM_001258071	EIF4E2	eukaryotic translation initiation factor 4E family member 2
NM_001261111	ATG16L1	autophagy related 16 like 1
NM_001261729	ACKR3	atypical chemokine receptor 3
NM_001261538	ASB1	ankyrin repeat and SOCS box containing 1
NM_001193812	TWIST2	twist family bHLH transcription factor 2
NM_001260881	OTOS	otospiralin
NM_001266539	GPC1	glypican 1
NM_001266922	BOK	BCL2 family apoptosis regulator BOK
NM_001194001	ING5	inhibitor of growth family member 5
NM_001114358	PDCD1	programmed cell death 1
NM_001266930	KIF3C	kinesin family member 3C
NM_001257548	PRKD3	protein kinase D3
NM_001032861	SLC8A1	solute carrier family 8 member A1
NM_001194545	PREPL	prolyl endopeptidase like
NM_001266968	SPTBN1	spectrin beta, non-erythrocytic 1
NM_001260952	PELI1	pellino E3 ubiquitin protein ligase 1
NM_001261137	DNAAF10	dynein axonemal assembly factor 10
NM_001261758	TIA1	TIA1 cytotoxic granule associated RNA binding protein
NM_001266343	CTNNA2	catenin alpha 2
NM_001258126	RPIA	ribose 5-phosphate isomerase A
NM_001265731	MYT1L	myelin transcription factor 1 like
NM_001260988	HPCAL1	hippocalcin like 1
NM_001260913	ROCK2	Rho associated coiled-coil containing protein kinase 2
NM_001194777	LDAH	lipid droplet associated hydrolase
NM_001194093	WDCP	WD repeat and coiled coil containing
NM_001265890	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
NM_001260911	FOSL2	FOS like 2, AP-1 transcription factor subunit
NM_001260652	PPP1CB	protein phosphatase 1 catalytic subunit beta
NM_001261700	RASGRP3	RAS guanyl releasing protein 3
NM_001194182	CDC42EP3	CDC42 effector protein 3
NM_001266868	CYP1B1	cytochrome P450 family 1 subfamily B member 1
NM_001261485	KCNG3	potassium voltage-gated channel modifier subfamily G member 3
NM_001265625	MTA3	metastasis associated 1 family member 3
NM_001266202	PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B
NM_001257741	PRKCE	protein kinase C epsilon
NM_001265781	FBXO11	F-box protein 11
NM_001205031	ASB3	ankyrin repeat and SOCS box containing 3
NM_001205127	RTN4	reticulon 4
NM_001266844	XPO1	exportin 1
NM_001261566	EHBP1	EH domain binding protein 1
NM_001261518	UGP2	UDP-glucose pyrophosphorylase 2
NM_001261018	VPS54	VPS54 subunit of GARP complex
NM_001261684	SERTAD2	SERTA domain containing 2
NM_001261100	SPRED2	sprouty related EVH1 domain containing 2
NM_001265907	GFPT1	glutamine--fructose-6-phosphate transaminase 1
NM_001266617	ADD2	adducin 2
NM_001261231	TEX261	testis expressed 261
NM_001260604	STAMBP	STAM binding protein
NM_001037861	TACR1	tachykinin receptor 1
NM_001194347	GCFC2	GC-rich sequence DNA-binding factor 2
NM_001195289	MAT2A	methionine adenosyltransferase 2A
