raw_ids	SYMBOL	GENENAME
NM_001346704	Phf21a	PHD finger protein 21A
NM_001362831	Phf21a	PHD finger protein 21A
NM_001362830	Phf21a	PHD finger protein 21A
NM_001362833	Phf21a	PHD finger protein 21A
NM_001109691	Phf21a	PHD finger protein 21A
NM_001109690	Phf21a	PHD finger protein 21A
NM_207204	Ninl	ninein-like
NM_001310434	Fam171a1	family with sequence similarity 171, member A1
NM_001361386	Fam171a1	family with sequence similarity 171, member A1
NM_001081161	Fam171a1	family with sequence similarity 171, member A1
NM_001347067	Fam171a1	family with sequence similarity 171, member A1
NM_001347086	Frmd4a	FERM domain containing 4A
NM_172475	Frmd4a	FERM domain containing 4A
NM_001110232	Celf2	CUGBP, Elav-like family member 2
NM_001110231	Celf2	CUGBP, Elav-like family member 2
NM_001198808	Sfmbt2	Scm-like with four mbt domains 2
NM_001369078	Sfmbt2	Scm-like with four mbt domains 2
NM_177386	Sfmbt2	Scm-like with four mbt domains 2
NM_001177758	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
NM_023116	Cacnb2	calcium channel, voltage-dependent, beta 2 subunit
NM_001310455	Malrd1	MAM and LDL receptor class A domain containing 1
NM_001355149	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
NM_008845	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
NM_001355146	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
NM_001355148	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
NM_001355147	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha
NM_001102436	Acbd5	acyl-Coenzyme A binding domain containing 5
NM_028793	Acbd5	acyl-Coenzyme A binding domain containing 5
NM_001355639	Acbd5	acyl-Coenzyme A binding domain containing 5
NM_001302956	Qsox2	quiescin Q6 sulfhydryl oxidase 2
NM_153559	Qsox2	quiescin Q6 sulfhydryl oxidase 2
NM_009500	Vav2	vav 2 oncogene
NM_029615	Med27	mediator complex subunit 27
NM_026896	Med27	mediator complex subunit 27
NM_007760	Crat	carnitine acetyltransferase
NM_001370902	Hmcn2	hemicentin 2
NM_001290625	Mapkap1	mitogen-activated protein kinase associated protein 1
NM_001290626	Mapkap1	mitogen-activated protein kinase associated protein 1
NM_001362921	Mapkap1	mitogen-activated protein kinase associated protein 1
NM_177345	Mapkap1	mitogen-activated protein kinase associated protein 1
NM_001362920	Mapkap1	mitogen-activated protein kinase associated protein 1
NM_001362919	Mapkap1	mitogen-activated protein kinase associated protein 1
NM_001114125	Dab2ip	disabled 2 interacting protein
NM_001290637	Dab2ip	disabled 2 interacting protein
NM_001114124	Dab2ip	disabled 2 interacting protein
NM_001290641	Dab2ip	disabled 2 interacting protein
NM_010264	Nr6a1	nuclear receptor subfamily 6, group A, member 1
NM_153820	Arhgap15	Rho GTPase activating protein 15
NM_001301832	Arhgap15	Rho GTPase activating protein 15
NM_001301831	Arhgap15	Rho GTPase activating protein 15
NM_001364029	Arhgap15	Rho GTPase activating protein 15
NM_001289521	Zeb2	zinc finger E-box binding homeobox 2
NM_001355291	Zeb2	zinc finger E-box binding homeobox 2
NM_001355290	Zeb2	zinc finger E-box binding homeobox 2
NM_001355289	Zeb2	zinc finger E-box binding homeobox 2
NM_015753	Zeb2	zinc finger E-box binding homeobox 2
NM_001355288	Zeb2	zinc finger E-box binding homeobox 2
NM_029924	Mbd5	methyl-CpG binding domain protein 5
NM_001290656	Mbd5	methyl-CpG binding domain protein 5
NM_001285427	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit
NM_001355059	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit
NM_146123	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit
NM_001285428	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit
NM_001285426	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit
NM_001037099	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit
NM_173030	Galnt13	polypeptide N-acetylgalactosaminyltransferase 13
NM_001355118	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3
NM_001304810	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3
NM_008426	Kcnj3	potassium inwardly-rectifying channel, subfamily J, member 3
NM_198294	Tanc1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
NM_001290659	Tanc1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1
NM_001141932	Rbms1	RNA binding motif, single stranded interacting protein 1
NM_001141931	Rbms1	RNA binding motif, single stranded interacting protein 1
NM_020296	Rbms1	RNA binding motif, single stranded interacting protein 1
NM_016719	Grb14	growth factor receptor bound protein 14
NM_001305800	Spc25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)
NM_001199123	Spc25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)
NM_001199124	Spc25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)
NM_025565	Spc25	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)
NM_177376	Myo3b	myosin IIIB
NM_172436	Slc25a12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12
NM_023057	Map3k20	mitogen-activated protein kinase kinase kinase 20
NM_178084	Map3k20	mitogen-activated protein kinase kinase kinase 20
NM_001164791	Map3k20	mitogen-activated protein kinase kinase kinase 20
NM_001290734	Osbpl6	oxysterol binding protein-like 6
NM_145525	Osbpl6	oxysterol binding protein-like 6
NM_001290733	Osbpl6	oxysterol binding protein-like 6
NM_001363039	Zfp385b	zinc finger protein 385B
NM_001113399	Zfp385b	zinc finger protein 385B
NM_178723	Zfp385b	zinc finger protein 385B
NM_028119	Ddb2	damage specific DNA binding protein 2
NM_001362705	Ddb2	damage specific DNA binding protein 2
NM_183180	Tspan18	tetraspanin 18
NM_183106	Ttc17	tetratricopeptide repeat domain 17
NM_001355690	Ttc17	tetratricopeptide repeat domain 17
NM_001355691	Ttc17	tetratricopeptide repeat domain 17
NM_001289743	Lrrc4c	leucine rich repeat containing 4C
NM_001363048	Lrrc4c	leucine rich repeat containing 4C
NM_001363047	Lrrc4c	leucine rich repeat containing 4C
NM_001289742	Lrrc4c	leucine rich repeat containing 4C
