raw_ids	SYMBOL	GENENAME
NM_001190999	Plekhg1	pleckstrin homology and RhoGEF domain containing G1
NM_001108462	Mthfd1l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like
NM_057103	Akap12	A-kinase anchoring protein 12
NM_001033653	Akap12	A-kinase anchoring protein 12
NM_001107460	Zbtb2	zinc finger and BTB domain containing 2
NM_001017447	Armt1	acidic residue methyltransferase 1
NM_012689	Esr1	estrogen receptor 1
NM_001106207	Myct1	myc target 1
NM_053991	Vip	vasoactive intestinal peptide
NM_001106206	Fbxo5	F-box protein 5
NM_001025723	Mtrf1l	mitochondrial translation release factor 1 like
NM_001107459	Rgs17	regulator of G-protein signaling 17
NM_001304733	Oprm1	opioid receptor, mu 1
NM_001304734	Oprm1	opioid receptor, mu 1
NM_001304735	Oprm1	opioid receptor, mu 1
NM_001304736	Oprm1	opioid receptor, mu 1
NM_001304737	Oprm1	opioid receptor, mu 1
NM_001304738	Oprm1	opioid receptor, mu 1
NM_001304740	Oprm1	opioid receptor, mu 1
NM_001038597	Oprm1	opioid receptor, mu 1
NM_001038599	Oprm1	opioid receptor, mu 1
NM_013071	Oprm1	opioid receptor, mu 1
NM_001038601	Oprm1	opioid receptor, mu 1
NM_001038600	Oprm1	opioid receptor, mu 1
NM_001170799	Ipcef1	interaction protein for cytohesin exchange factors 1
NM_001012061	Cnksr3	Cnksr family member 3
NM_139094	Scaf8	SR-related CTD-associated factor 8
NM_181474	Tfb1m	transcription factor B1, mitochondrial
NM_001144860	Tmem242	transmembrane protein 242
NM_183334	Ldhal6b	lactate dehydrogenase A-like 6B
NM_001039343	Zdhhc14	zinc finger DHHC-type palmitoyltransferase 14
NM_001127637	Snx9	sorting nexin 9
NM_032071	Synj2	synaptojanin 2
NM_001113371	Synj2	synaptojanin 2
NM_001113372	Synj2	synaptojanin 2
NM_001126088	Gtf2h5	general transcription factor IIH subunit 5
NM_001130939	Tmem181	transmembrane protein 181
NM_031318	Dynlt1	dynein light chain Tctex-type 1
NM_001127560	Sytl3	synaptotagmin-like 3
NM_019357	Ezr	ezrin
NM_001309449	Tagap	T-cell activation RhoGTPase activating protein
NM_017051	Sod2	superoxide dismutase 2
NM_001113543	Wtap	WT1 associated protein
NM_001113542	Wtap	WT1 associated protein
NM_001113544	Wtap	WT1 associated protein
NM_001006995	Acat2	acetyl-CoA acetyltransferase 2
NM_012670	Tcp1	t-complex 1
NM_001106205	Mrpl18	mitochondrial ribosomal protein L18
NM_001025724		
NM_012757	Mas1	MAS1 proto-oncogene, G protein-coupled receptor
NM_012756	Igf2r	insulin-like growth factor 2 receptor
NM_012697	Slc22a1	solute carrier family 22 member 1
NM_031584	Slc22a2	solute carrier family 22 member 2
NM_019230	Slc22a3	solute carrier family 22 member 3
NM_053491	Plg	plasminogen
NM_001107456	Map3k4	mitogen activated protein kinase kinase kinase 4
NM_133406	Agpat4	1-acylglycerol-3-phosphate O-acyltransferase 4
NM_020093	Prkn	parkin RBR E3 ubiquitin protein ligase
NM_001077677	Pacrg	parkin coregulated
NM_001115021	Qki	QKI, KH domain containing RNA binding
NM_001106208	Pabpc6	poly(A) binding protein, cytoplasmic 6
NM_001044277	MGC94891	hypothetical protein LOC681210
NM_022236	Pde10a	phosphodiesterase 10A
NM_001106209	Tbxt	T-box transcription factor T
NM_001161835	T2	brachyury 2
NM_001008302	Sft2d1	SFT2 domain containing 1
NM_133561	Mpc1	mitochondrial pyruvate carrier 1
NM_001013145	Ccr6	C-C motif chemokine receptor 6
NM_001101008	Cep43	centrosomal protein 43
NM_001106210	Rnaset2	ribonuclease T2
NM_057128	Rps6ka2	ribosomal protein S6 kinase A2
NM_013217	Afdn	afadin, adherens junction formation factor
NM_001107464	Dact2	dishevelled-binding antagonist of beta-catenin 2
NM_001106215	Smoc2	SPARC related modular calcium binding 2
NM_001169138	Thbs2	thrombospondin 2
NM_001103356	C1h6orf120	similar to human chromosome 6 open reading frame 120
NM_001024747	Phf10	PHD finger protein 10
NM_032063	Dll1	delta like canonical Notch ligand 1
NM_001107466	Fam120b	family with sequence similarity 120 member B
NM_053590	Psmb1	proteasome 20S subunit beta 1
NM_001004198	Tbp	TATA box binding protein
NM_031638	Pdcd2	programmed cell death 2
NM_001108903	Prdm9	PR/SET domain 9
NM_001107465	Chd1	chromodomain helicase DNA binding protein 1
NM_001009687	Riok2	RIO kinase 2
NM_001106214	Lix1	limb and CNS expressed 1
NM_001113403	Lnpep	leucyl and cystinyl aminopeptidase
NM_133574	Lnpep	leucyl and cystinyl aminopeptidase
NM_001135720	Spaca6	sperm acrosome associated 6
NM_172323	Has1	hyaluronan synthase 1
NM_001106216	Fpr1	formyl peptide receptor 1
NM_057140	Ppp2r1a	protein phosphatase 2 scaffold subunit A alpha
NM_001107467	Zfp54	zinc finger protein 54
NM_001107468	Zfp53	zinc finger protein 53
NM_001014158	Zfp52	zinc finger protein 52
NM_001168642	Zfp40	zinc finger protein 40
NM_001100123	Lilrc2	leukocyte immunoglobulin-like receptor, subfamily C, member 2
NM_031713	Lilrb2	leukocyte immunoglobulin like receptor B2
NM_001037357	Pira2	paired-Ig-like receptor A2
NM_001313924	Pirb	paired Ig-like receptor B
NM_001313935	Rps9	ribosomal protein S9
NM_001006968	Tsen34	tRNA splicing endonuclease subunit 34
NM_001313940		
NM_001313948		
NM_031108		
NM_001313942	Tsen34	tRNA splicing endonuclease subunit 34
NM_001134978	Mboat7	membrane bound O-acyltransferase domain containing 7
NM_001034104	Tmc4	transmembrane channel-like 4
NM_001106218	Leng1	leukocyte receptor cluster member 1
NM_001107471	Cnot3	CCR4-NOT transcription complex, subunit 3
NM_001106219	Prpf31	pre-mRNA processing factor 31
