raw_ids	SYMBOL	GENENAME
NM_001280192	PSMD13	proteasome 26S subunit, non-ATPase 13
NM_001198769	IFITM5	interferon induced transmembrane protein 5
NM_001198767	IFITM2	interferon induced transmembrane protein 2
NM_001198758	IFITM1	interferon induced transmembrane protein 1
NM_001198757	IFITM3	interferon induced transmembrane protein 3
NM_001008996	INS	insulin
NM_001205176	TRIM6	tripartite motif containing 6
NM_001205177	TRIM34	tripartite motif containing 34
NM_001246649	RBMXL2	RBMX like 2
NM_001110812	EIF3F	eukaryotic translation initiation factor 3 subunit F
NM_001034084	RPL27A	ribosomal protein L27a
NM_001193596	MTRNR2L8	MT-RNR2 like 8
NM_001034096	LDHA	lactate dehydrogenase A
NM_001280073	PDHX	pyruvate dehydrogenase complex component X
NM_001280367	LOC101058999	peptidyl-prolyl cis-trans isomerase A-like
NM_001098543	ATG13	autophagy related 13
NM_001246489	ACP2	acid phosphatase 2, lysosomal
NM_001280200	CELF1	CUGBP Elav-like family member 1
NM_001280204	KBTBD4	kelch repeat and BTB domain containing 4
NM_001038657	ZDHHC5	zinc finger DHHC-type palmitoyltransferase 5
NM_001146691	SELENOH	selenoprotein H
NM_001246553	CCDC86	coiled-coil domain containing 86
NM_001246594	TKFC	triokinase and FMN cyclase
NM_001242568	TMEM216	transmembrane protein 216
NM_001251854	SDHAF2	succinate dehydrogenase complex assembly factor 2
NM_001302424	EEF1G	eukaryotic translation elongation factor 1 gamma
NM_001280366	TUT1	terminal uridylyl transferase 1, U6 snRNA-specific
NM_001243949	CSKMT	citrate synthase lysine methyltransferase
NM_001280400	NXF1	nuclear RNA export factor 1
NM_001280436	ATL3	atlastin GTPase 3
NM_001048049	RTN3	reticulon 3
NM_001251928	BAD	BCL2 associated agonist of cell death
NM_001280217	EHD1	EH domain containing 1
NM_001243843	TIGD3	tigger transposable element derived 3
NM_001246630	RELA	RELA proto-oncogene, NF-kB subunit
NM_001279898	B4GAT1	beta-1,4-glucuronyltransferase 1
NM_001246382	RBM14	RNA binding motif protein 14
NM_001246641	RBM4	RNA binding motif protein 4
NM_001144865	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing
NM_001282075	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing
NM_001199353	LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing
NM_001251999	RPS3	ribosomal protein S3
NM_001246610	SERPINH1	serpin family H member 1
NM_001251994	AAMDC	adipogenesis associated Mth938 domain containing
NM_001280231	ALG8	ALG8 alpha-1,3-glucosyltransferase
NM_001280260	CCDC90B	coiled-coil domain containing 90B
NM_001279934	CCDC83	coiled-coil domain containing 83
NM_001243958	TMEM123	transmembrane protein 123
NM_001280173	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta
NM_001280293	ZPR1	ZPR1 zinc finger
NM_001243914	FXYD6	FXYD domain containing ion transport regulator 6
NM_001279805	TMEM25	transmembrane protein 25
NM_001251993	RPS25	ribosomal protein S25
NM_001279891	SLC37A4	solute carrier family 37 member 4
NM_001251995	TMEM218	transmembrane protein 218
NM_001246449	STT3A	STT3 oligosaccharyltransferase complex catalytic subunit A
NM_001246450	DDX25	DEAD-box helicase 25
NM_001202505	ST14	ST14 transmembrane serine protease matriptase
NM_001280259	LOC101058692	uncharacterized LOC101058692
NM_001279831	METTL25	methyltransferase like 25
NM_001280186	HCFC2	host cell factor C2
NM_001185048	WNK1	WNK lysine deficient protein kinase 1
NM_001280362	FERRY3	FERRY endosomal RAB5 effector complex subunit 3
NM_001009062	KLRD1	killer cell lectin like receptor D1
NM_001009017	KLRC3	killer cell lectin-like receptor subfamily C, member 3
NM_001246575	CAPZA3	capping actin protein of muscle Z-line subunit alpha 3
NM_001252589	RPS26	ribosomal protein S26
NM_001280535	PRICKLE1	prickle planar cell polarity protein 1
NM_001280492	CNOT2	CCR4-NOT transcription complex subunit 2
NM_001280509	TBC1D15	TBC1 domain family member 15
NM_001280303	NR2C1	nuclear receptor subfamily 2 group C member 1
NM_001246487	HSP90B1	heat shock protein 90 beta family member 1
NM_001122669	TXNRD1	thioredoxin reductase 1
NM_001246615	SPPL3	signal peptide peptidase like 3
NM_001279803	CCDC92	coiled-coil domain containing 92
NM_001034099	F379	F379 retina specific protein
NM_001280328	ITFG2	integrin alpha FG-GAP repeat containing 2
NM_001280506	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4
NM_001280397	LTBR	lymphotoxin beta receptor
NM_001246605	ACRBP	acrosin binding protein
NM_001009043	CD4	CD4 molecule
NM_001280444	CDCA3	cell division cycle associated 3
NM_001034120	C1R	complement C1r
NM_001071827	NANOG	Nanog homeobox
NM_001246515	RIMKLB	ribosomal modification protein rimK like family member B
NM_001079918	KLRF1	killer cell lectin like receptor F1
NM_001009059	KLRK1	killer cell lectin like receptor K1
NM_001009048	KLRC1	killer cell lectin like receptor C1
