raw_ids	SYMBOL	GENENAME
NM_166760	CaMKI	Calcium/calmodulin-dependent protein kinase I
NM_166761	CaMKI	Calcium/calmodulin-dependent protein kinase I
NM_166759	CaMKI	Calcium/calmodulin-dependent protein kinase I
NM_143666	Taf3	TBP-associated factor 3
NM_001347760	CG33941	uncharacterized protein
NM_001272127	Asator	asator
NM_143667	Asator	asator
NM_001272126	Asator	asator
NM_166766	Asator	asator
NM_166765	Asator	asator
NM_001272125	Asator	asator
NM_001272129	Asator	asator
NM_001272128	Asator	asator
NM_001297785	Asator	asator
NM_001297786	Tdg	Thymine DNA glycosylase
NM_001272131	Tdg	Thymine DNA glycosylase
NM_143668	Tdg	Thymine DNA glycosylase
NM_166767	Pur-alpha	Purine-rich binding protein-alpha
NM_079885	Pur-alpha	Purine-rich binding protein-alpha
NM_001272133	Pur-alpha	Purine-rich binding protein-alpha
NM_166768	Pur-alpha	Purine-rich binding protein-alpha
NM_001272134	Pur-alpha	Purine-rich binding protein-alpha
NM_166769	Pur-alpha	Purine-rich binding protein-alpha
NM_001272132	Pur-alpha	Purine-rich binding protein-alpha
NM_143669	ND-49	NADH dehydrogenase (ubiquinone) 49 kDa subunit
NM_001272135	ND-49	NADH dehydrogenase (ubiquinone) 49 kDa subunit
NM_143670	Ephrin	ephrin
NM_166770	Ephrin	ephrin
NM_166771	Ephrin	ephrin
NM_166773	CG1909	uncharacterized protein
NM_143671	CG1909	uncharacterized protein
NM_080103	onecut	onecut
NM_001272136	onecut	onecut
NM_166774	Eph	Eph receptor tyrosine kinase
NM_001169353	Eph	Eph receptor tyrosine kinase
NM_166777	Eph	Eph receptor tyrosine kinase
NM_166775	Eph	Eph receptor tyrosine kinase
NM_079886	Eph	Eph receptor tyrosine kinase
NM_166776	Eph	Eph receptor tyrosine kinase
NM_079887	mav	maverick
NM_143673	Gat	GABA transporter
NM_166779	Gat	GABA transporter
NM_143674	Ekar	Eye-enriched kainate receptor
NM_001042785	Ekar	Eye-enriched kainate receptor
NM_001042786	Ekar	Eye-enriched kainate receptor
NM_001382172	CG46466	uncharacterized protein
NM_001382171	CG46466	uncharacterized protein
NM_001382170	CG46466	uncharacterized protein
NM_001272137	Slip1	SLo interacting protein 1
NM_001272138	Slip1	SLo interacting protein 1
NM_143676	Slip1	SLo interacting protein 1
NM_001272141	CG11360	uncharacterized protein
NM_001272139	CG11360	uncharacterized protein
NM_001272140	CG11360	uncharacterized protein
NM_143677	CG11360	uncharacterized protein
NM_166788	myo	myoglianin
NM_166786	myo	myoglianin
NM_166787	myo	myoglianin
NM_166789	ey	eyeless
NM_079889	ey	eyeless
NM_001014693	ey	eyeless
NM_001014694	ey	eyeless
NM_205876	bt	bent
NM_001169354	bt	bent
NM_001272143	bt	bent
NM_001297787	bt	bent
NM_001272142	bt	bent
NM_001272144	Sox102F	Sox102F
NM_001272145	Sox102F	Sox102F
NM_166792	Sox102F	Sox102F
NM_001014695	Sox102F	Sox102F
NM_143694	fd102C	forkhead domain 102C
NM_001169357	Gyf	Gigyf
NM_001169356	Gyf	Gigyf
NM_205878	Gyf	Gigyf
NM_143693	Gyf	Gigyf
NM_001258497	unc-13	unc-13
NM_001258498	unc-13	unc-13
NM_166794	unc-13	unc-13
NM_166793	unc-13	unc-13
NM_143692	unc-13	unc-13
NM_001272146	unc-13	unc-13
NM_001297788	unc-13	unc-13
NM_001272148	mGluR	metabotropic Glutamate Receptor
NM_001297789	mGluR	metabotropic Glutamate Receptor
NM_079900	mGluR	metabotropic Glutamate Receptor
NM_001272147	mGluR	metabotropic Glutamate Receptor
NM_001272149	4E-T	eIF4E-Transporter
NM_166798	4E-T	eIF4E-Transporter
NM_166796	4E-T	eIF4E-Transporter
NM_166797	4E-T	eIF4E-Transporter
NM_001169359	fuss	fussel
NM_001272150	fuss	fussel
NM_001169358	fuss	fussel
NM_079899	toy	twin of eyeless
NM_001272151	toy	twin of eyeless
NM_001382011	toy	twin of eyeless
NM_001258499	PlexA	Plexin A
NM_079898	PlexA	Plexin A
NM_166804	PlexA	Plexin A
NM_166805	PlexA	Plexin A
NM_143687	Mpv17	Mitochondrial inner membrane protein MPV17
NM_166807	CG11076	uncharacterized protein
NM_143686	CG11076	uncharacterized protein
NM_001258500	CG11076	uncharacterized protein
NM_001272152	ATPsynbeta	ATP synthase, beta subunit
NM_166808	ATPsynbeta	ATP synthase, beta subunit
NM_001297790	ATPsynbeta	ATP synthase, beta subunit
NM_143758	Zyx	Zyxin
NM_166816	Zyx	Zyxin
NM_166815	Zyx	Zyxin
NM_166819	Zyx	Zyxin
NM_001258501	Zyx	Zyxin
NM_001297791	apolpp	apolipophorin
NM_001297792	apolpp	apolipophorin
NM_079895	apolpp	apolipophorin
NM_001272156	apolpp	apolipophorin
NM_143685	Actbeta	Activin-beta
NM_001014698	sv	shaven
NM_001014699	sv	shaven
NM_001014697	sv	shaven
NM_166822	sv	shaven
NM_001014701	sv	shaven
NM_079894	sv	shaven
NM_001169363	sv	shaven
NM_001297793	Cals	Calsyntenin
NM_166823	Cals	Calsyntenin
NM_001272157	Cals	Calsyntenin
NM_079893	Cals	Calsyntenin
NM_001272158	Arf4	ADP ribosylation factor 4
NM_079892	Arf4	ADP ribosylation factor 4
NM_166824	CG11155	uncharacterized protein
NM_143684	CG11155	uncharacterized protein
NM_166825	CG11155	uncharacterized protein
NM_166826	CG32017	uncharacterized protein
NM_001169364	CG32017	uncharacterized protein
NM_001297794	CG32017	uncharacterized protein
NM_143682	Kif3C	Kinesin family member 3C
NM_001258506	CG33521	uncharacterized protein
NM_001014703	CG33521	uncharacterized protein
NM_001014705	CG33521	uncharacterized protein
NM_001014702	CG33521	uncharacterized protein
NM_001038717	PIP4K	Phosphatidylinositol 5-phosphate 4-kinase
NM_001038716	PIP4K	Phosphatidylinositol 5-phosphate 4-kinase
NM_001038719	Mitf	mitf
NM_001038718	Mitf	mitf
NM_001258508	Mitf	mitf
NM_001258507	Mitf	mitf
NM_001038725	Dyrk3	Dual-specificity tyrosine phosphorylation-regulated kinase 3
NM_001038723	Dyrk3	Dual-specificity tyrosine phosphorylation-regulated kinase 3
NM_001038721	Dyrk3	Dual-specificity tyrosine phosphorylation-regulated kinase 3
NM_001031858	Cadps	Calcium-dependent secretion activator
NM_001031860	Cadps	Calcium-dependent secretion activator
NM_001031859	Cadps	Calcium-dependent secretion activator
NM_001258511	Cadps	Calcium-dependent secretion activator
NM_001258510	Cadps	Calcium-dependent secretion activator
NM_132245	CG1387	uncharacterized protein
NM_001169307	if	inflated
NM_001169306	if	inflated
NM_078654	if	inflated
NM_167544	if	inflated
NM_057782	csw	corkscrew
NM_001272245	csw	corkscrew
NM_001258581	N	Notch
NM_057511	N	Notch
NM_001272308	Fas2	Fasciclin 2
NM_001297925	Fas2	Fasciclin 2
NM_080327	Fas2	Fasciclin 2
NM_001272306	Fas2	Fasciclin 2
NM_001297926	Fas2	Fasciclin 2
NM_167004	Fas2	Fasciclin 2
NM_167005	Fas2	Fasciclin 2
NM_001297948	CG15465	uncharacterized protein
NM_001144685	rg	rugose
NM_001042796	rg	rugose
NM_001144687	rg	rugose
NM_001144686	rg	rugose
NM_001297950	rg	rugose
NM_001297949	rg	rugose
NM_131978	CG15465	uncharacterized protein
NM_167028	rg	rugose
NM_132081	mldr	mulder
NM_001258620	mldr	mulder
NM_167124	CG1677	uncharacterized protein
NM_001272380	CBP	sarcoplasmic calcium-binding protein
NM_078515	CBP	sarcoplasmic calcium-binding protein
NM_206638	CBP	sarcoplasmic calcium-binding protein
NM_001298124	mgl	Megalin
NM_001298125	mgl	Megalin
NM_132335	mgl	Megalin
NM_001103454	mgl	Megalin
NM_167233	CG32687	uncharacterized protein
NM_001272483	CG32687	uncharacterized protein
NM_001169252	Drak	Death-associated protein kinase related
NM_001169253	Drak	Death-associated protein kinase related
NM_206688	Drak	Death-associated protein kinase related
NM_001272557	Pits	Protein interacting with Ttk69 and Sin3A
NM_132581	Pits	Protein interacting with Ttk69 and Sin3A
NM_001144720	Pits	Protein interacting with Ttk69 and Sin3A
NM_001169275	NFAT	NFAT nuclear factor
NM_001272597	NFAT	NFAT nuclear factor
NM_078592	NFAT	NFAT nuclear factor
NM_001298315	CG5321	uncharacterized protein
NM_132739	CG5321	uncharacterized protein
