raw_ids	SYMBOL	GENENAME
NM_001291875	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
NM_001291869	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
NM_006548	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
NM_001007225	IGF2BP2	insulin like growth factor 2 mRNA binding protein 2
NM_001346	DGKG	diacylglycerol kinase gamma
NM_001080744	DGKG	diacylglycerol kinase gamma
NM_001080745	DGKG	diacylglycerol kinase gamma
NM_173217	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
NM_173216	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
NM_003032	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
NM_001353916	ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
NM_001387683	LPP	LIM domain containing preferred translocation partner in lipoma
NM_001387680	LPP	LIM domain containing preferred translocation partner in lipoma
NM_001387682	LPP	LIM domain containing preferred translocation partner in lipoma
NM_001387679	LPP	LIM domain containing preferred translocation partner in lipoma
NM_001387677	LPP	LIM domain containing preferred translocation partner in lipoma
NM_001387681	LPP	LIM domain containing preferred translocation partner in lipoma
NM_001387678	LPP	LIM domain containing preferred translocation partner in lipoma
NM_198485	TPRG1	tumor protein p63 regulated 1
NM_018192	P3H2	prolyl 3-hydroxylase 2
NM_001134418	P3H2	prolyl 3-hydroxylase 2
NM_001378493	CLDN16	claudin 16
NM_001378492	CLDN16	claudin 16
NM_021101	CLDN1	claudin 1
NM_207316	TMEM207	transmembrane protein 207
NM_001167930	IL1RAP	interleukin 1 receptor accessory protein
NM_134470	IL1RAP	interleukin 1 receptor accessory protein
NM_001364880	IL1RAP	interleukin 1 receptor accessory protein
NM_001167929	IL1RAP	interleukin 1 receptor accessory protein
NM_002182	IL1RAP	interleukin 1 receptor accessory protein
NM_001364881	IL1RAP	interleukin 1 receptor accessory protein
NM_001167928	IL1RAP	interleukin 1 receptor accessory protein
NM_001364879	IL1RAP	interleukin 1 receptor accessory protein
NM_001167931	IL1RAP	interleukin 1 receptor accessory protein
NM_198184	OSTN	osteocrin
NM_174908	CCDC50	coiled-coil domain containing 50
NM_178335	CCDC50	coiled-coil domain containing 50
NM_021032	FGF12	fibroblast growth factor 12
NM_001377294	FGF12	fibroblast growth factor 12
NM_004113	FGF12	fibroblast growth factor 12
NM_001377292	FGF12	fibroblast growth factor 12
NM_001377293	FGF12	fibroblast growth factor 12
NM_178496	MB21D2	Mab-21 domain containing 2
NM_198505	ATP13A5	ATPase 13A5
NM_032279	ATP13A4	ATPase 13A4
NM_130831	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_130833	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_130832	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_130835	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_015560	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_130836	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_130834	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_130837	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_001354663	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_001354664	OPA1	OPA1 mitochondrial dynamin like GTPase
NM_018385	LSG1	large 60S subunit nuclear export GTPase 1
NM_001410854	XXYLT1	xyloside xylosyltransferase 1
NM_001308069	XXYLT1	xyloside xylosyltransferase 1
NM_152531	XXYLT1	xyloside xylosyltransferase 1
NM_012287	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
NM_152617	RNF168	ring finger protein 168
NM_001308045	SENP5	SUMO specific peptidase 5
NM_152699	SENP5	SUMO specific peptidase 5
NM_203314	BDH1	3-hydroxybutyrate dehydrogenase 1
NM_004051	BDH1	3-hydroxybutyrate dehydrogenase 1
NM_203315	BDH1	3-hydroxybutyrate dehydrogenase 1
NM_001323027	IQCG	IQ motif containing G
NM_001134435	IQCG	IQ motif containing G
NM_001323029	IQCG	IQ motif containing G
NM_032263	IQCG	IQ motif containing G
NM_001323028	IQCG	IQ motif containing G
NM_001323030	IQCG	IQ motif containing G
NM_000564	IL5RA	interleukin 5 receptor subunit alpha
NM_175726	IL5RA	interleukin 5 receptor subunit alpha
NM_001243099	IL5RA	interleukin 5 receptor subunit alpha
NM_175725	IL5RA	interleukin 5 receptor subunit alpha
NM_175728	IL5RA	interleukin 5 receptor subunit alpha
NM_175724	IL5RA	interleukin 5 receptor subunit alpha
NM_175727	IL5RA	interleukin 5 receptor subunit alpha
NM_001173482	CRBN	cereblon
NM_016302	CRBN	cereblon
NM_001276325	SETMAR	SET domain and mariner transposase fusion gene
NM_001320678	SETMAR	SET domain and mariner transposase fusion gene
NM_001320676	SETMAR	SET domain and mariner transposase fusion gene
NM_001320677	SETMAR	SET domain and mariner transposase fusion gene
NM_001243723	SETMAR	SET domain and mariner transposase fusion gene
NM_006515	SETMAR	SET domain and mariner transposase fusion gene
NM_018184	ARL8B	ARF like GTPase 8B
NM_014674	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1
NM_001256748	SSUH2	ssu-2 homolog
NM_001234	CAV3	caveolin 3
NM_033337	CAV3	caveolin 3
NM_001354656	OXTR	oxytocin receptor
NM_001354655	OXTR	oxytocin receptor
NM_000916	OXTR	oxytocin receptor
NM_001354654	OXTR	oxytocin receptor
NM_001354653	OXTR	oxytocin receptor
NM_001114092	THUMPD3	THUMP domain 3 tRNA guanosine methyltransferase
NM_015453	THUMPD3	THUMP domain 3 tRNA guanosine methyltransferase
NM_198560	LHFPL4	LHFPL tetraspan subfamily member 4
NM_001308388	CPNE9	copine family member 9
NM_153635	CPNE9	copine family member 9
NM_001438346		
NM_001319050	BRPF1	bromodomain and PHD finger containing 1
NM_001438342		
NM_001319049	BRPF1	bromodomain and PHD finger containing 1
NM_004634	BRPF1	bromodomain and PHD finger containing 1
NM_001437892		
NM_001438345		
NM_001410704	BRPF1	bromodomain and PHD finger containing 1
NM_001438344		
NM_001003694	BRPF1	bromodomain and PHD finger containing 1
NM_001438343		
NM_001354649	OGG1	8-oxoguanine DNA glycosylase
NM_001354648	OGG1	8-oxoguanine DNA glycosylase
NM_002542	OGG1	8-oxoguanine DNA glycosylase
NM_016820	OGG1	8-oxoguanine DNA glycosylase
NM_016819	OGG1	8-oxoguanine DNA glycosylase
NM_016827	OGG1	8-oxoguanine DNA glycosylase
NM_016826	OGG1	8-oxoguanine DNA glycosylase
NM_001354650	OGG1	8-oxoguanine DNA glycosylase
NM_001354652	OGG1	8-oxoguanine DNA glycosylase
NM_001354651	OGG1	8-oxoguanine DNA glycosylase
NM_016821	OGG1	8-oxoguanine DNA glycosylase
NM_016829	OGG1	8-oxoguanine DNA glycosylase
NM_016828	OGG1	8-oxoguanine DNA glycosylase
NM_001434449	OGG1	8-oxoguanine DNA glycosylase
NM_001434447	OGG1	8-oxoguanine DNA glycosylase
NM_001434450	OGG1	8-oxoguanine DNA glycosylase
NM_001434448	OGG1	8-oxoguanine DNA glycosylase
NM_001434446	OGG1	8-oxoguanine DNA glycosylase
NM_001434445	OGG1	8-oxoguanine DNA glycosylase
NM_003656	CAMK1	calcium/calmodulin dependent protein kinase I
NM_006354	TADA3	transcriptional adaptor 3
NM_001278270	TADA3	transcriptional adaptor 3
NM_133480	TADA3	transcriptional adaptor 3
NM_001024960	ARPC4	actin related protein 2/3 complex subunit 4
NM_001024959	ARPC4	actin related protein 2/3 complex subunit 4
